"","1km_pragmatic1_UNWcost_LA_bp_0.07499","1km_pragmatic1_UNWcost_LA_bp_0.08785","1km_pragmatic1_UNWcost_LA_bp_0.1007","1km_pragmatic1_UNWcost_LA_bp_0.11355","1km_pragmatic1_UNWcost_LA_bp_0.12641","1km_pragmatic1_UNWcost_LA_bp_0.13926","1km_pragmatic1_UNWcost_LA_bp_0.15212","1km_pragmatic1_UNWcost_LA_bp_0.16497","1km_pragmatic1_UNWcost_LA_bp_0.17783"
"Blondekrigged_pa.tif",0.093,0.092,0.098,0.103,0.103,0.103,0.106,0.104,0.107
"BullHusskrigged_pa.tif",0.026,0.025,0.035,0.043,0.042,0.042,0.045,0.047,0.054
"Circalittoral_coarse_sediment_1km.tif",0.176,0.162,0.16,0.185,0.16,0.256,0.162,0.16,0.163
"Circalittoral_mud_1km.tif",0.233,0.235,0.232,0.233,0.233,0.234,0.2,0.181,0.183
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.203,0.203,0.208,0.192,0.168,0.184,0.18,0.162,0.24
"Circalittoral_sand_1km.tif",0.223,0.227,0.238,0.321,0.183,0.346,0.17,0.172,0.16
"cshas_forage_fish_4_and_up.tif",0.32,0.321,0.321,0.32,0.32,0.321,0.32,0.32,0.321
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.329,0.331,0.329,0.331,0.329,0.331,0.329,0.329,0.329
"Infralittoral_coarse_sediment_1km.tif",0.207,0.224,0.224,0.207,0.207,0.19,0.19,0.241,0.328
"Infralittoral_mud_1km.tif",0.206,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.163,0.161,0.161,0.161,0.161,0.166,0.165,0.163,0.163
"Infralittoral_sand_1km.tif",0.186,0.224,0.214,0.171,0.176,0.171,0.171,0.248,0.352
"juvenile_blue_skate.tif",0.506,0.516,0.566,0.555,0.562,0.562,0.562,0.563,0.564
"kelp_pa_1km.tif",0.115,0.118,0.124,0.171,0.112,0.124,0.109,0.068,0.094
"mature_female_flappers.tif",0.175,0.175,0.125,0.115,0.123,0.095,0.14,0.105,0.074
"MI_Herring_Spawning_Beds_percent_cover.tif",0.321,0.322,0.321,0.326,0.349,0.328,0.32,0.323,0.32
"observe_density_2021_2022_1km.tif",0.286,0.286,0.284,0.28,0.281,0.279,0.285,0.278,0.269
"OBSERVE_predicted_cetorhinus_maximus.tif",0.243,0.243,0.261,0.272,0.277,0.276,0.272,0.276,0.287
"Offshore_circalittoral_coarse_sediment_1km.tif",0.205,0.204,0.21,0.217,0.217,0.218,0.216,0.217,0.22
"Offshore_circalittoral_mixed_sediment_1km.tif",0.4,0.229,0.4,0.371,0.229,0.343,0.2,0.4,0.4
"Offshore_circalittoral_mud_1km.tif",0.418,0.418,0.434,0.426,0.435,0.433,0.437,0.429,0.425
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.377,0.377,0.358,0.32,0.329,0.286,0.341,0.311,0.22
"Offshore_circalittoral_sand_1km.tif",0.328,0.328,0.312,0.311,0.315,0.315,0.318,0.32,0.312
"RJF_occProb_Shagreen_ray.tif",0.373,0.374,0.371,0.369,0.371,0.372,0.372,0.372,0.37
"sabellaria_layer_binary_1km.tif",0.294,0.353,0.294,0.353,0.294,0.294,0.294,0.294,0.294
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321
"sandeels_logged_buffered_1km.tif",0.32,0.32,0.32,0.325,0.322,0.322,0.329,0.32,0.321
"seapen_layer_binary_1km.tif",0.366,0.377,0.404,0.388,0.404,0.41,0.41,0.383,0.393
"Turbotkrigged_pa.tif",0.166,0.166,0.184,0.187,0.188,0.189,0.191,0.191,0.193
"UCD_OC_stock_kg_m2_upper10cm.tif",0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"UCD_Percentatge_OC_content_in_sediment.tif",0.324,0.324,0.325,0.325,0.325,0.325,0.325,0.325,0.325
"zostera_pa_1km.tif",0.085,0.102,0.085,0.102,0.085,0.085,0.085,0.068,0.068
"CelticSeaFront",0.33,0.337,0.32,0.32,0.32,0.32,0.323,0.351,0.321
"coastal_front",0.322,0.32,0.328,0.324,0.337,0.335,0.333,0.322,0.34
