"","1km_pragmatic_STDcost_LA_bp_0.03162","1km_pragmatic_STDcost_LA_bp_0.03704","1km_pragmatic_STDcost_LA_bp_0.04246","1km_pragmatic_STDcost_LA_bp_0.04788","1km_pragmatic_STDcost_LA_bp_0.05331","1km_pragmatic_STDcost_LA_bp_0.05873","1km_pragmatic_STDcost_LA_bp_0.06415","1km_pragmatic_STDcost_LA_bp_0.06957","1km_pragmatic_STDcost_LA_bp_0.07499"
"Blondekrigged_pa.tif",0.175,0.176,0.156,0.149,0.145,0.155,0.13,0.146,0.123
"BullHusskrigged_pa.tif",0.037,0.041,0.022,0.021,0.018,0.019,0.022,0.019,0.061
"Circalittoral_coarse_sediment_1km.tif",0.16,0.16,0.164,0.164,0.189,0.178,0.172,0.161,0.161
"Circalittoral_mud_1km.tif",0.165,0.194,0.169,0.186,0.162,0.178,0.179,0.166,0.161
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
"Circalittoral_sand_1km.tif",0.245,0.258,0.258,0.258,0.266,0.262,0.267,0.258,0.262
"cshas_forage_fish_4_and_up.tif",0.32,0.321,0.321,0.321,0.321,0.32,0.321,0.32,0.32
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.326,0.329,0.329,0.331,0.329,0.329,0.329,0.329,0.331
"Infralittoral_coarse_sediment_1km.tif",0.207,0.207,0.241,0.207,0.224,0.207,0.207,0.207,0.207
"Infralittoral_mud_1km.tif",0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.454
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.166
"Infralittoral_sand_1km.tif",0.186,0.186,0.238,0.186,0.181,0.186,0.186,0.186,0.171
"juvenile_blue_skate.tif",0.663,0.608,0.625,0.625,0.625,0.619,0.636,0.645,0.673
"kelp_pa_1km.tif",0.056,0.077,0.088,0.065,0.08,0.071,0.077,0.077,0.065
"mature_female_flappers.tif",0.608,0.614,0.439,0.424,0.39,0.413,0.348,0.394,0.114
"MI_Herring_Spawning_Beds_percent_cover.tif",0.348,0.324,0.369,0.338,0.345,0.322,0.38,0.37,0.388
"observe_density_2021_2022_1km.tif",0.302,0.305,0.314,0.313,0.311,0.317,0.309,0.306,0.268
"OBSERVE_predicted_cetorhinus_maximus.tif",0.339,0.344,0.293,0.284,0.282,0.285,0.269,0.285,0.333
"Offshore_circalittoral_coarse_sediment_1km.tif",0.182,0.201,0.187,0.184,0.186,0.184,0.18,0.184,0.194
"Offshore_circalittoral_mixed_sediment_1km.tif",0.857,0.343,0.257,0.229,0.2,0.4,0.286,1,0.257
"Offshore_circalittoral_mud_1km.tif",0.522,0.462,0.466,0.465,0.468,0.453,0.468,0.486,0.507
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.432,0.44,0.407,0.395,0.414,0.458,0.404,0.448,0.187
"Offshore_circalittoral_sand_1km.tif",0.343,0.343,0.353,0.355,0.351,0.348,0.353,0.338,0.34
"RJF_occProb_Shagreen_ray.tif",0.392,0.381,0.398,0.399,0.397,0.386,0.4,0.388,0.4
"sabellaria_layer_binary_1km.tif",0.294,0.235,0.294,0.235,0.235,0.235,0.235,0.294,0.176
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321
"sandeels_logged_buffered_1km.tif",0.338,0.32,0.321,0.321,0.321,0.321,0.321,0.323,0.32
"seapen_layer_binary_1km.tif",0.59,0.568,0.563,0.557,0.541,0.563,0.557,0.579,0.508
"Turbotkrigged_pa.tif",0.166,0.169,0.186,0.187,0.183,0.179,0.186,0.169,0.208
"UCD_OC_stock_kg_m2_upper10cm.tif",0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"UCD_Percentatge_OC_content_in_sediment.tif",0.322,0.322,0.322,0.323,0.323,0.323,0.323,0.323,0.325
"zostera_pa_1km.tif",0.068,0.085,0.119,0.068,0.085,0.085,0.085,0.085,0.068
"CelticSeaFront",0.32,0.388,0.32,0.32,0.325,0.32,0.323,0.32,0.321
"coastal_front",0.343,0.353,0.32,0.32,0.331,0.32,0.32,0.32,0.322
