"","3km_threatened_UNWcost_PB_bp_1","3km_threatened_UNWcost_PB_bp_1.27028","3km_threatened_UNWcost_PB_bp_1.54057","3km_threatened_UNWcost_PB_bp_1.81086","3km_threatened_UNWcost_PB_bp_2.08114","3km_threatened_UNWcost_PB_bp_2.35142","3km_threatened_UNWcost_PB_bp_2.62171","3km_threatened_UNWcost_PB_bp_2.892","3km_threatened_UNWcost_PB_bp_3.16228"
"Blondekrigged_pa.tif",0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
"BullHusskrigged_pa.tif",0.36,0.368,0.389,0.36,0.372,0.379,0.362,0.361,0.361
"Circalittoral_coarse_sediment_1km.tif",0.295,0.234,0.206,0.201,0.211,0.195,0.274,0.198,0.25
"Circalittoral_mud_1km.tif",0.273,0.257,0.271,0.252,0.245,0.231,0.247,0.247,0.247
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.212,0.192,0.181,0.192,0.183,0.192,0.182,0.18,0.182
"Circalittoral_sand_1km.tif",0.29,0.204,0.187,0.182,0.184,0.191,0.225,0.182,0.224
"cshas_forage_fish_4_and_up.tif",0.193,0.181,0.195,0.181,0.181,0.18,0.186,0.182,0.185
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.479,0.366,0.366,0.362,0.373,0.376,0.373,0.373,0.373
"Infralittoral_coarse_sediment_1km.tif",0.301,0.301,0.301,0.301,0.237,0.237,0.237,0.237,0.237
"Infralittoral_mud_1km.tif",0.263,0.263,0.204,0.204,0.188,0.188,0.188,0.188,0.188
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.274,0.181,0.184,0.184,0.201,0.226,0.201,0.201,0.202
"Infralittoral_sand_1km.tif",0.269,0.269,0.269,0.379,0.247,0.247,0.247,0.247,0.247
"juvenile_blue_skate.tif",0.404,0.398,0.371,0.41,0.421,0.433,0.438,0.427,0.428
"kelp_pa_1km.tif",0.417,0.367,0.372,0.361,0.371,0.373,0.385,0.377,0.39
"mature_female_flappers.tif",0.426,0.43,0.424,0.396,0.392,0.392,0.4,0.414,0.407
"MI_Herring_Spawning_Beds_percent_cover.tif",0.614,0.352,0.322,0.252,0.205,0.185,0.187,0.209,0.211
"observe_density_2021_2022_1km.tif",0.36,0.36,0.361,0.379,0.366,0.36,0.36,0.36,0.36
"OBSERVE_predicted_cetorhinus_maximus.tif",0.361,0.36,0.361,0.361,0.364,0.368,0.37,0.36,0.362
"Offshore_circalittoral_coarse_sediment_1km.tif",0.322,0.308,0.314,0.347,0.344,0.344,0.334,0.338,0.319
"Offshore_circalittoral_mixed_sediment_1km.tif",0.555,0.555,0.912,0.912,0.912,0.912,0.912,0.912,0.912
"Offshore_circalittoral_mud_1km.tif",0.249,0.248,0.24,0.29,0.305,0.315,0.311,0.292,0.296
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.181,0.221,0.185,0.192,0.183,0.18,0.181,0.184,0.183
"Offshore_circalittoral_sand_1km.tif",0.357,0.356,0.359,0.354,0.349,0.347,0.342,0.34,0.345
"RJF_occProb_Shagreen_ray.tif",0.361,0.36,0.36,0.387,0.389,0.389,0.396,0.391,0.386
"sabellaria_layer_binary_1km.tif",0.497,0.39,0.403,0.403,0.37,0.37,0.37,0.37,0.37
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.476,0.361,0.367,0.363,0.365,0.368,0.365,0.365,0.365
"sandeels_logged_buffered_1km.tif",0.219,0.203,0.224,0.241,0.241,0.241,0.237,0.237,0.237
"seapen_layer_binary_1km.tif",0.366,0.361,0.361,0.366,0.392,0.402,0.447,0.381,0.376
"Turbotkrigged_pa.tif",0.364,0.362,0.36,0.364,0.36,0.363,0.36,0.361,0.36
"UCD_OC_stock_kg_m2_upper10cm.tif",0.317,0.311,0.311,0.329,0.326,0.327,0.319,0.315,0.311
"UCD_Percentatge_OC_content_in_sediment.tif",0.317,0.311,0.31,0.329,0.327,0.328,0.32,0.316,0.311
"zostera_pa_1km.tif",0.55,0.396,0.424,0.518,0.424,0.637,0.424,0.424,0.424
"CelticSeaFront",0.246,0.187,0.18,0.181,0.182,0.182,0.18,0.181,0.181
"coastal_front",0.192,0.202,0.195,0.192,0.18,0.185,0.181,0.19,0.181
