"feature_list","targets"
Blondekrigged_pa.tif,0.16
BullHusskrigged_pa.tif,0.16
Circalittoral_coarse_sediment_1km.tif,0.16
Circalittoral_mud_1km.tif,0.16
Circalittoral_rock_and_biogenic_reef_1km.tif,0.16
Circalittoral_sand_1km.tif,0.16
cshas_forage_fish_4_and_up.tif,0.32
IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif,0.32
Infralittoral_coarse_sediment_1km.tif,0.16
Infralittoral_mud_1km.tif,0.16
Infralittoral_rock_and_biogenic_reef_1km.tif,0.16
Infralittoral_sand_1km.tif,0.16
juvenile_blue_skate.tif,0.16
kelp_pa_1km.tif,0.32
mature_female_flappers.tif,0.16
MI_Herring_Spawning_Beds_percent_cover.tif,0.32
observe_density_2021_2022_1km.tif,0.16
OBSERVE_predicted_cetorhinus_maximus.tif,0.16
Offshore_circalittoral_coarse_sediment_1km.tif,0.16
Offshore_circalittoral_mixed_sediment_1km.tif,0.16
Offshore_circalittoral_mud_1km.tif,0.16
Offshore_circalittoral_rock_and_biogenic_reef_1km.tif,0.16
Offshore_circalittoral_sand_1km.tif,0.16
RJF_occProb_Shagreen_ray.tif,0.16
sabellaria_layer_binary_1km.tif,0.32
Salmon_Estuaries_Rivermouths_pa_500m.tif,0.32
sandeels_logged_buffered_1km.tif,0.32
seapen_layer_binary_1km.tif,0.32
Turbotkrigged_pa.tif,0.16
UCD_OC_stock_kg_m2_upper10cm.tif,0.32
UCD_Percentatge_OC_content_in_sediment.tif,0.32
zostera_pa_1km.tif,0.32
CelticSeaFront,0.32
coastal_front,0.32
