"","3km_pragmatic_STDcost_PB_bp_0.03162","3km_pragmatic_STDcost_PB_bp_0.04017","3km_pragmatic_STDcost_PB_bp_0.04872","3km_pragmatic_STDcost_PB_bp_0.05726","3km_pragmatic_STDcost_PB_bp_0.06581","3km_pragmatic_STDcost_PB_bp_0.07436","3km_pragmatic_STDcost_PB_bp_0.08291","3km_pragmatic_STDcost_PB_bp_0.09145","3km_pragmatic_STDcost_PB_bp_0.1"
"Blondekrigged_pa.tif",0.144,0.159,0.172,0.169,0.17,0.155,0.162,0.165,0.168
"BullHusskrigged_pa.tif",0.046,0.045,0.046,0.047,0.047,0.039,0.04,0.039,0.043
"Circalittoral_coarse_sediment_1km.tif",0.163,0.161,0.163,0.168,0.169,0.167,0.162,0.162,0.162
"Circalittoral_mud_1km.tif",0.167,0.168,0.163,0.168,0.182,0.183,0.179,0.177,0.2
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.17,0.161,0.17,0.16,0.166,0.161,0.16,0.16,0.162
"Circalittoral_sand_1km.tif",0.238,0.231,0.243,0.259,0.26,0.259,0.256,0.27,0.269
"cshas_forage_fish_4_and_up.tif",0.327,0.32,0.323,0.322,0.322,0.321,0.321,0.321,0.321
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.338,0.338,0.334,0.345,0.328,0.335,0.329,0.34,0.34
"Infralittoral_coarse_sediment_1km.tif",0.329,0.329,0.376,0.312,0.312,0.301,0.301,0.312,0.312
"Infralittoral_mud_1km.tif",0.307,0.307,0.167,0.188,0.201,0.167,0.167,0.201,0.201
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.188,0.188,0.167,0.207,0.173,0.178,0.178,0.173,0.173
"Infralittoral_sand_1km.tif",0.182,0.182,0.294,0.174,0.166,0.261,0.261,0.166,0.166
"juvenile_blue_skate.tif",0.621,0.635,0.633,0.642,0.641,0.651,0.652,0.633,0.64
"kelp_pa_1km.tif",0.154,0.154,0.157,0.176,0.138,0.132,0.099,0.105,0.105
"mature_female_flappers.tif",0.355,0.497,0.532,0.518,0.506,0.397,0.475,0.506,0.524
"MI_Herring_Spawning_Beds_percent_cover.tif",0.337,0.337,0.337,0.405,0.363,0.358,0.353,0.324,0.353
"observe_density_2021_2022_1km.tif",0.285,0.283,0.297,0.294,0.295,0.294,0.298,0.29,0.292
"OBSERVE_predicted_cetorhinus_maximus.tif",0.302,0.321,0.341,0.328,0.329,0.31,0.319,0.334,0.33
"Offshore_circalittoral_coarse_sediment_1km.tif",0.176,0.175,0.181,0.181,0.181,0.172,0.176,0.188,0.185
"Offshore_circalittoral_mixed_sediment_1km.tif",1,1,1,1,1,0.912,0.912,1,0.93
"Offshore_circalittoral_mud_1km.tif",0.546,0.578,0.522,0.518,0.512,0.528,0.522,0.506,0.51
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.44,0.439,0.484,0.451,0.455,0.459,0.447,0.428,0.439
"Offshore_circalittoral_sand_1km.tif",0.335,0.33,0.337,0.338,0.339,0.34,0.34,0.333,0.337
"RJF_occProb_Shagreen_ray.tif",0.393,0.393,0.388,0.39,0.39,0.393,0.395,0.389,0.391
"sabellaria_layer_binary_1km.tif",0.38,0.38,0.249,0.38,0.249,0.249,0.46,0.46,0.46
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.324,0.324,0.327,0.332,0.323,0.329,0.324,0.335,0.335
"sandeels_logged_buffered_1km.tif",0.358,0.37,0.357,0.357,0.325,0.321,0.352,0.345,0.356
"seapen_layer_binary_1km.tif",0.529,0.569,0.604,0.609,0.604,0.609,0.62,0.604,0.604
"Turbotkrigged_pa.tif",0.144,0.147,0.158,0.16,0.161,0.162,0.165,0.16,0.162
"UCD_OC_stock_kg_m2_upper10cm.tif",0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"UCD_Percentatge_OC_content_in_sediment.tif",0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323
"zostera_pa_1km.tif",0.221,0.221,0.182,0.204,0.154,0.193,0.193,0.154,0.154
"CelticSeaFront",0.341,0.32,0.329,0.322,0.322,0.321,0.321,0.361,0.366
"coastal_front",0.321,0.32,0.35,0.322,0.321,0.322,0.32,0.323,0.322
