"feature_list","targets"
Blondekrigged_pa.tif,0.28
BullHusskrigged_pa.tif,0.28
Circalittoral_coarse_sediment_1km.tif,0.28
Circalittoral_mud_1km.tif,0.28
Circalittoral_rock_and_biogenic_reef_1km.tif,0.28
Circalittoral_sand_1km.tif,0.28
cshas_forage_fish_4_and_up.tif,0.28
IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif,0.56
Infralittoral_coarse_sediment_1km.tif,0.28
Infralittoral_mud_1km.tif,0.28
Infralittoral_rock_and_biogenic_reef_1km.tif,0.28
Infralittoral_sand_1km.tif,0.28
juvenile_blue_skate.tif,0.28
kelp_pa_1km.tif,0.28
mature_female_flappers.tif,0.28
MI_Herring_Spawning_Beds_percent_cover.tif,0.28
observe_density_2021_2022_1km.tif,0.28
OBSERVE_predicted_cetorhinus_maximus.tif,0.28
Offshore_circalittoral_coarse_sediment_1km.tif,0.28
Offshore_circalittoral_mixed_sediment_1km.tif,0.28
Offshore_circalittoral_mud_1km.tif,0.28
Offshore_circalittoral_rock_and_biogenic_reef_1km.tif,0.28
Offshore_circalittoral_sand_1km.tif,0.28
RJF_occProb_Shagreen_ray.tif,0.28
sabellaria_layer_binary_1km.tif,0.28
Salmon_Estuaries_Rivermouths_pa_500m.tif,0.56
sandeels_logged_buffered_1km.tif,0.28
seapen_layer_binary_1km.tif,0.28
Turbotkrigged_pa.tif,0.28
UCD_OC_stock_kg_m2_upper10cm.tif,0.28
UCD_Percentatge_OC_content_in_sediment.tif,0.28
zostera_pa_1km.tif,0.28
CelticSeaFront,0.56
coastal_front,0.56
Existing_Protected_Areas,0.9
